CMY-60	This AmpC beta-lactamase gene is frequently found on plasmids that can move between Enterobacterales, sometimes within integrons or IS-associated contexts. It is often discussed in food-associated E. coli and Salmonella (including poultry- or retail-meat linked isolates) as well as in human infections.
CMY-24	This AmpC beta-lactamase gene is frequently found on plasmids that can move between Enterobacterales, sometimes within integrons or IS-associated contexts. It is often discussed in food-associated E. coli and Salmonella (including poultry- or retail-meat linked isolates) as well as in human infections.
KPC-11	This beta-lactamase determinant is commonly associated with transferable plasmids in Gram-negative bacteria, and many reports describe it embedded in transposons or integron-linked regions that facilitate spread. It has been documented in Enterobacterales that include food-borne pathogens and food-associated commensals, supporting a role for the food chain as a reservoir or conduit. Canadian case series and surveillance reports have described related isolates carrying this determinant in healthcare and, in some instances, agri-food contexts.
dfrA21	This folate-pathway resistance determinant is commonly found in class 1 integrons and on multi-resistance plasmids in Enterobacterales. It is frequently described in food-borne pathogens such as Salmonella and Shiga-toxin–producing or commensal E. coli from food animals and retail meats.
TEM-199	This beta-lactamase determinant is commonly associated with transferable plasmids in Gram-negative bacteria, and many reports describe it embedded in transposons or integron-linked regions that facilitate spread. It has been documented in Enterobacterales that include food-borne pathogens and food-associated commensals, supporting a role for the food chain as a reservoir or conduit. Canadian case series and surveillance reports have described related isolates carrying this determinant in healthcare and, in some instances, agri-food contexts.
OXA-211	This beta-lactamase determinant is commonly associated with transferable plasmids in Gram-negative bacteria, and many reports describe it embedded in transposons or integron-linked regions that facilitate spread. It has been documented in Enterobacterales that include food-borne pathogens and food-associated commensals, supporting a role for the food chain as a reservoir or conduit. Canadian case series and surveillance reports have described related isolates carrying this determinant in healthcare and, in some instances, agri-food contexts.
OXA-15	This beta-lactamase determinant is commonly associated with transferable plasmids in Gram-negative bacteria, and many reports describe it embedded in transposons or integron-linked regions that facilitate spread. It has been documented in Enterobacterales that include food-borne pathogens and food-associated commensals, supporting a role for the food chain as a reservoir or conduit. Canadian case series and surveillance reports have described related isolates carrying this determinant in healthcare and, in some instances, agri-food contexts.
OXA-704	This beta-lactamase determinant is commonly associated with transferable plasmids in Gram-negative bacteria, and many reports describe it embedded in transposons or integron-linked regions that facilitate spread. It has been documented in Enterobacterales that include food-borne pathogens and food-associated commensals, supporting a role for the food chain as a reservoir or conduit. Canadian case series and surveillance reports have described related isolates carrying this determinant in healthcare and, in some instances, agri-food contexts.
MCR-1.16	This colistin-resistance gene is frequently carried on transferable Enterobacterales plasmids, often alongside insertion sequences that help it mobilize between strains. It has been reported from food-related settings (especially E. coli and Salmonella from meat or retail foods) in multiple countries, and Canadian surveillance studies have also detected it in clinical and/or agri-food isolates.
KPC-194	This beta-lactamase determinant is commonly associated with transferable plasmids in Gram-negative bacteria, and many reports describe it embedded in transposons or integron-linked regions that facilitate spread. It has been documented in Enterobacterales that include food-borne pathogens and food-associated commensals, supporting a role for the food chain as a reservoir or conduit. Canadian case series and surveillance reports have described related isolates carrying this determinant in healthcare and, in some instances, agri-food contexts.
KPC-2	This beta-lactamase determinant is commonly associated with transferable plasmids in Gram-negative bacteria, and many reports describe it embedded in transposons or integron-linked regions that facilitate spread. It has been documented in Enterobacterales that include food-borne pathogens and food-associated commensals, supporting a role for the food chain as a reservoir or conduit. Canadian case series and surveillance reports have described related isolates carrying this determinant in healthcare and, in some instances, agri-food contexts.
ADC-173	This beta-lactamase determinant is commonly associated with transferable plasmids in Gram-negative bacteria, and many reports describe it embedded in transposons or integron-linked regions that facilitate spread. It has been documented in Enterobacterales that include food-borne pathogens and food-associated commensals, supporting a role for the food chain as a reservoir or conduit. Canadian case series and surveillance reports have described related isolates carrying this determinant in healthcare and, in some instances, agri-food contexts.
ACT-102	This beta-lactamase determinant is commonly associated with transferable plasmids in Gram-negative bacteria, and many reports describe it embedded in transposons or integron-linked regions that facilitate spread. It has been documented in Enterobacterales that include food-borne pathogens and food-associated commensals, supporting a role for the food chain as a reservoir or conduit. Canadian case series and surveillance reports have described related isolates carrying this determinant in healthcare and, in some instances, agri-food contexts.
OXA-1260	This beta-lactamase determinant is commonly associated with transferable plasmids in Gram-negative bacteria, and many reports describe it embedded in transposons or integron-linked regions that facilitate spread. It has been documented in Enterobacterales that include food-borne pathogens and food-associated commensals, supporting a role for the food chain as a reservoir or conduit. Canadian case series and surveillance reports have described related isolates carrying this determinant in healthcare and, in some instances, agri-food contexts.
OXA-588	This beta-lactamase determinant is commonly associated with transferable plasmids in Gram-negative bacteria, and many reports describe it embedded in transposons or integron-linked regions that facilitate spread. It has been documented in Enterobacterales that include food-borne pathogens and food-associated commensals, supporting a role for the food chain as a reservoir or conduit. Canadian case series and surveillance reports have described related isolates carrying this determinant in healthcare and, in some instances, agri-food contexts.
